Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/19;99;12,29;3,39;100;54,64;3,86;11,91;1,81;0;2,14;0,0386;1,4;0
10/4/19;100;13,1;2,65;100;42,29;3,94;17,95;0;0;2,88;0,04;0;0
11/4/19;101;15,84;0,71;100;31,34;3,4;23,56;0;0;3,73;0,0415;0;0
12/4/19;102;16,5;1,05;91,8;29,59;3,06;24,03;0;0;3,89;0,043;0;0
13/4/19;103;20,19;1,71;84;14,23;2,71;27,11;0;0;4,91;0,0446;0;0
14/4/19;104;22,67;4,87;79;30,13;2,82;25,24;0;0;4,9;0,0463;0,3;0
15/4/19;105;24,55;8,28;90,7;22,88;2,97;20,49;0;0;5,04;0,0481;0;0,3
16/4/19;106;21,66;5,8;94,9;22,48;3,55;26,67;0;0;5,25;0,0499;0;10,7
17/4/19;107;19,99;8,21;93,2;45,5;5,82;20,69;0;0;4,31;0,0518;13,9;31,6
18/4/19;108;10,36;6,67;100;72,3;2,26;3,42;17,09;10,42;1,05;0,0538;59,9;0
19/4/19;109;9,89;6,8;100;86,2;2,19;2,96;50,05;29,59;0,78;0,0558;0;22,3
20/4/19;110;12,36;7,74;85,8;54,77;5,8;9,32;0,2;0;2,52;0,0578;12,6;0
21/4/19;111;10,02;6,6;100;70,5;2,03;4,75;15,08;9,11;1,15;0,0599;4;19,1
22/4/19;112;13,97;7,41;100;68,8;2,66;13,08;0,2;0;2,05;0,062;12,8;0
23/4/19;113;11,35;4,87;100;60,48;3,05;9,7;8,04;4,2;1,81;0,0642;0;0,6
24/4/19;114;15,24;3,06;98;57,99;4,51;17,37;0;0;2,79;0,0664;1,4;3,1
25/4/19;115;13,5;5,8;100;54,24;4,51;14,98;4,62;1,55;2,58;0,0686;0;0
26/4/19;116;14,97;3,06;99,1;44,56;2,98;24,86;0,2;0;3,48;0,0708;0;0
27/4/19;117;20,26;2,72;97,4;32,48;1,08;27,31;0;0;4;0,0731;0;0
28/4/19;118;22,33;6,67;92,6;29,65;1,33;28,22;0;0;4,56;0,0754;0;0
29/4/19;119;23,8;8,88;98,4;31,67;2,28;27,45;0;0;5,02;0,0778;0;0
30/4/19;120;24,81;10,03;100;25,96;2,62;26,18;0;0;5,34;0,0802;2,9;0
1/5/19;121;23,94;7,54;97,1;41,26;2,4;23,01;0,8;0;4,44;0,0828;0;2,2
2/5/19;122;20,66;9,76;100;46,17;3,3;25,25;0,8;0;4,35;0,0854;0;0
3/5/19;123;19,45;4,4;99,5;40,87;2,22;21,15;0,2;0;3,67;0,0883;0;0
4/5/19;124;20,33;1,51;100;20,87;2,69;28,44;0;0;4,96;0,0913;0;0
5/5/19;125;21,8;4,26;87,2;24,22;2,62;28,42;0;0;5,2;0,0944;0,1;0
6/5/19;126;23,94;3,86;80,4;25,3;1,87;28,48;0;0;5,16;0,0978;0;0
7/5/19;127;23,95;7,01;84,2;31,47;2,28;23,67;0;0;4,84;0,1012;0;0
8/5/19;128;20,39;12,56;91,6;50,19;5,34;18,9;0;0;4,17;0,1049;0;0
9/5/19;129;21,6;12,09;89,1;45,63;4,34;24,31;0;0;4,85;0,1086;0;0
10/5/19;130;24,94;11,02;100;34,75;2,73;27,77;0;0;5,42;0,1125;0;0
11/5/19;131;26,88;10,43;94,9;17,24;2,66;30,19;0;0;6,41;0,1164;0;0
12/5/19;132;27,08;8,82;52,77;14,89;1,89;30,49;0;0;6,2;0,1205;0;0
13/5/19;133;25,94;9,35;49,42;17,65;2,54;30,77;0;0;6,61;0,1246;0;0
14/5/19;134;26,07;6,47;94,9;21,33;1,89;30,54;0;0;5,73;0,1288;0;0
15/5/19;135;31,31;7,21;89,9;11,67;3,38;29,86;0;0;8,06;0,1331;0,3;0,2
16/5/19;136;28,76;11,9;93,9;18,85;3,38;26,57;0;0;6,87;0,1374;0;0
17/5/19;137;17,91;6,14;76,9;35,7;5,34;22,08;0;0;4,76;0,1417;0;0,8
18/5/19;138;18,06;5;75,9;23,82;2,35;20,44;0;0;4,14;0,1461;0;0
19/5/19;139;19,72;2,79;79,9;25,9;2,41;25,34;0;0;4,64;0,1505;0;0
20/5/19;140;22,73;6,8;76,5;20,4;1,64;27,37;0;0;5,01;0,1548;0;0
21/5/19;141;24,21;10,56;85,1;27,37;2,27;22,31;0;0;4,96;0,1592;0,7;0
22/5/19;142;26,81;7,88;89,8;22,27;1,52;27,61;0;0;5,37;0,1635;0;3,7
23/5/19;143;28,36;10,5;87,6;21,6;1,34;22,34;0;0;4,89;0,1679;0;0
24/5/19;144;18,86;7,54;89;47,19;2,64;14,06;0,2;0;3,2;0,1721;0;0
25/5/19;145;23,47;6,67;92,3;31,13;1,97;25,14;0;0;4,82;0,1763;0;0
26/5/19;146;25,81;8,95;79,4;23,28;1,82;29,03;0;0;5,67;0,1805;0;0
27/5/19;147;28,89;7,54;83,1;18,18;2,36;27,57;0;0;6,39;0,1845;0;0
28/5/19;148;27,62;10,96;79,4;13,35;2,57;28,74;0;0;6,66;0,1885;0;0,3
29/5/19;149;25,2;5,2;78,3;21,6;1,64;29,29;0;0;5,47;0,1924;0,2;0
30/5/19;150;27,01;8,15;71,1;20,53;1,75;29,04;0;0;5,86;0,1961;0,6;0
31/5/19;151;28,56;8,41;73,3;19,39;2,07;29,19;0;0;6,34;0,1998;1,3;0
1/6/19;152;30,1;9,15;72,4;17,17;2,12;29,28;0;0;6,68;0,2034;1,1;0
2/6/19;153;31,91;8,28;60,5;17,37;1,38;28,9;0;0;6,15;0,207;0;0
3/6/19;154;33,12;11,7;53,36;15,36;1,54;26,92;0;0;6,37;0,2105;0;0
4/6/19;155;31,71;9,82;71,7;13,08;1,85;28,38;0;0;6,62;0,2139;0;0
5/6/19;156;21,47;7,74;64,91;20,6;3,43;27,6;0;0;5,95;0,2173;0;0
6/6/19;157;27,15;3,73;86,6;17,51;1,9;28,51;0;0;5,86;0,2207;0;0
7/6/19;158;23,07;8,28;96;17,98;2,28;27,42;0;0;5,42;0,224;0;0
8/6/19;159;22,94;11,5;74,9;33,91;4,68;26,74;0;0;6,12;0,2273;0;0
9/6/19;160;27,89;10,83;81,9;18,25;2,06;25,09;0;0;5,86;0,2306;0;0
10/6/19;161;26,81;8,95;53,45;19,32;2,01;29,78;0;0;6,27;0,2339;0;1,5
11/6/19;162;23,28;7,2;92,9;26,5;2,01;20,79;0;0;4,51;0,2371;0;0
12/6/19;163;25;4;89,3;26,63;2,79;27,4;0;0;5,75;0,2403;0;13,6
13/6/19;164;23,6;12,3;90,8;44,68;3,82;22,87;0;0;4,99;0,2436;1,2;0
14/6/19;165;26,74;12,16;94;17,58;2,46;26,92;4,42;1,39;6,1;0,2468;0;0
15/6/19;166;25,13;7,94;69,3;17,84;2,15;29,67;0;0;6,04;0,25;0;0
16/6/19;167;26,41;11,03;77,9;24,95;3;22,2;0;0;5,85;0,2532;0;0
17/6/19;168;30,57;7,67;92,9;18,18;1,41;29,01;0;0;5,99;0,2564;0;0
18/6/19;169;32,04;11,9;65,27;10,93;1,61;29,17;0;0;6,6;0,2597;0,8;0,9
19/6/19;170;29,36;13,5;49,87;22,08;2,17;29,26;0;0;6,8;0,2629;0;0
20/6/19;171;30,23;12,96;68;19,39;2,09;28,72;0;0;6,69;0,2662;0;0,3
21/6/19;172;29,36;14,71;93,2;19,25;2,27;28,62;0;0;6,56;0,2694;0;0
22/6/19;173;30,7;14,37;89,2;25,09;2,74;24,78;0;0;6,54;0,2727;0,2;0
23/6/19;174;34,45;14,44;84,5;16,7;2,98;28,71;0;0;8,18;0,276;1,3;0
24/6/19;175;30,84;11,76;72,2;25,22;2,35;23,67;0;0;6,23;0,2794;0,2;0
25/6/19;176;35,18;14,77;91,6;22,33;2,8;28,67;0;0;7,9;0,2827;0;0
26/6/19;177;31,31;16,65;98,3;38,24;4,39;27,1;0;0;7,09;0,2861;0;0
27/6/19;178;33,32;16,99;92,2;26,56;4,88;28,09;0;0;8,58;0,2896;0;0
28/6/19;179;37,32;13,16;76,3;11;2,64;28,68;0;0;8,54;0,293;0;1,3
29/6/19;180;38,66;12,63;54,44;8,05;2,08;29,57;0;0;8,21;0,2966;0;0
30/6/19;181;37,38;14,84;48,05;9,39;2,54;29;0;0;8,64;0,3002;0;0,8
1/7/19;182;34,37;16,05;58,85;19,99;2,33;27,27;0;0;7,45;0,3039;0,8;0,3
2/7/19;183;32,65;16,65;92,6;31,33;3,63;25,58;0;0;7,25;0,3076;1,1;0
3/7/19;184;32,77;13,16;75,4;24,15;3,29;28,55;0;0;7,8;0,3115;0;0
4/7/19;185;32,11;13,9;81;27,77;3,47;26,83;0;0;7,43;0,3155;0;0
5/7/19;186;34,23;13,7;75,1;19,32;1,13;28,28;0;0;6,11;0,3195;0;0
6/7/19;187;35,64;13,63;78,3;17,64;1,71;25,43;0;0;6,54;0,3236;0;1,6
7/7/19;188;35,71;17,58;76,6;20,52;2,3;24,8;0;0;7,26;0,3278;1,4;0
8/7/19;189;29,7;17,93;94,4;25,96;2,66;24,92;0;0;6,28;0,332;0;0,9
9/7/19;190;29,16;11,95;94,3;22,61;1,76;25,93;0;0;5,71;0,3362;0;0
10/7/19;191;31,95;15,51;80,3;19,99;1,45;26,95;0;0;6,06;0,3405;0;0
11/7/19;192;36,04;17,05;86,5;15,69;1,27;28,52;0;0;6,56;0,3447;0;0
12/7/19;193;38,73;17,93;60,95;13,68;1,15;24,32;0;0;6,16;0,349;0;0
13/7/19;194;37,79;19,18;70,5;14,82;2,52;25,29;0;0;7,94;0,3532;0,5;0
14/7/19;195;32,09;15,65;77,9;23,67;2,39;27,89;0;0;6,95;0,3574;0;0
15/7/19;196;33,7;16,31;82,4;18,91;2,57;28,27;0;0;7,45;0,3615;0;3,6
16/7/19;197;33,36;18,51;84,3;27,49;3,72;27,43;0;0;7,95;0,3656;0;0
17/7/19;198;33,16;15,65;94,8;23,94;1,75;24,68;1,61;0;6,05;0,3696;0;0
18/7/19;199;33,9;14,3;82,1;17,23;1,65;28,81;0;0;6,67;0,3735;0;0
19/7/19;200;34,5;16,92;68,78;16,63;2,97;28,38;0;0;8,2;0,3773;0;0
20/7/19;201;35,91;16,85;94,2;18,37;3,03;27,78;0;0;8,15;0,3809;0;0
21/7/19;202;32,22;17,92;75,2;30,85;3,72;27,42;0;0;7,65;0,3844;0;0
22/7/19;203;35,31;17,11;58,51;19,72;3,84;27,86;0;0;9,2;0,3878;0;0
23/7/19;204;36,58;15,64;54,3;14,69;2,87;27,51;0;0;8,48;0,391;0;0,1
24/7/19;205;36,65;15,71;53,09;15,62;2,52;27,76;0;0;8,04;0,3941;0;0
25/7/19;206;35,91;17,99;54,83;15,76;2,05;27,55;0;0;7,41;0,397;0;0
26/7/19;207;31,69;17,38;67,05;14,15;2,22;25,94;0;0;6,78;0,3998;0;0
27/7/19;208;27,62;16,85;60,53;30,32;3,58;25,04;0;0;6,79;0,4026;0;0
28/7/19;209;29,75;12,09;70,4;20,79;1,48;28,99;0;0;5,93;0,4052;0;0
29/7/19;210;32,76;14,44;81,6;18,72;1,52;28,32;0;0;6,26;0,4079;0;0
30/7/19;211;33,36;12,89;78,2;18,17;2,08;28,21;0;0;6,87;0,4105;1,4;0
31/7/19;212;28,22;17,24;94,7;44,34;4,81;24,54;0;0;6,05;0,4132;0;0
1/8/19;213;34,03;16,71;94,8;20,72;2,18;27,43;0;0;6,88;0,4158;0;0
2/8/19;214;35,44;16,12;93,6;14,95;1,67;28,49;0;0;6,76;0,4184;0;0
3/8/19;215;35,51;17,11;75,5;19,51;2,18;27,51;0;0;7,23;0,421;0;0
4/8/19;216;35,98;15,65;80,4;15,49;1,46;27,45;0;0;6,44;0,4236;1,5;0
5/8/19;217;36,31;15,58;83,5;15,76;1,31;27,48;0;0;6,28;0,4261;0;0
6/8/19;218;36,58;15,58;96;11,6;1,46;28,15;0;0;6,59;0,4285;0;0
7/8/19;219;33,7;14,97;46,7;15,49;2,08;22,2;0;0;6,47;0,4309;1,1;0
8/8/19;220;34,77;15,92;62,43;21,46;1,45;27,23;0;0;6,27;0,4331;0;0
9/8/19;221;33,7;15,92;55,56;24,01;2,47;27,43;0;0;7,15;0,4353;0;0
10/8/19;222;33,83;16,64;84,6;27,43;1,61;26,88;0;0;6,12;0,4374;0;0
11/8/19;223;31,16;14,23;96,9;15,49;2,07;23,53;0;0;5,86;0,4393;0;0,1
12/8/19;224;30,14;12,22;82,9;11,06;1,8;27,02;0;0;5,99;0,4411;0;0
13/8/19;225;29,55;17,85;91,3;21,93;2,78;19,33;0;0;5,71;0,4428;0;0
14/8/19;226;32,76;13,63;100;16,5;1,43;26,14;0;0;5,72;0,4443;0,1;0
15/8/19;227;34,84;16,92;72,2;15,76;1,85;25,77;0;0;6,55;0,4456;0;0
16/8/19;228;35,44;17,38;89,1;16,9;2,41;25,5;0;0;7,08;0,4468;0;0
17/8/19;229;36,85;15,11;90,1;15,29;1,33;26,1;0;0;6,03;0,4477;0;0
18/8/19;230;36,04;15,11;86,6;14,62;1,36;25,8;0;0;5,95;0,4485;0;0
19/8/19;231;34,84;13,97;81,5;17,64;2,43;25,45;0;0;6,97;0,4491;0;19,2
20/8/19;232;30,95;19,12;94,1;35,61;4,09;20,96;0;0;6,3;0,4494;10,7;0
21/8/19;233;22;13,43;98,8;65,22;3,01;6,66;6,83;3,29;2,14;0,4494;0;0
22/8/19;234;28,81;11,75;99,1;25,69;1,93;24,62;0;0;5,25;0,4491;0;0,3
23/8/19;235;30,02;12,29;85,5;18,64;1,88;25;0;0;5,6;0,4486;0,3;1,1
24/8/19;236;30,95;12,63;77,6;23,2;1,81;24,23;0;0;5,53;0,4477;0;21,6
25/8/19;237;31,36;12,49;93,1;21,8;2,47;24,38;0;0;6,07;0,4465;16,1;2,5
26/8/19;238;26,14;13,56;100;45,55;4,01;12,77;13,67;8,21;4,03;0,4451;2,6;0
27/8/19;239;26,28;11,69;100;37,77;1,16;22,36;1,21;0;4,06;0,4433;1,3;0
28/8/19;240;29,15;13,23;97,5;31,39;0,99;23,72;0;0;4,43;0,4412;1,4;0
29/8/19;241;31,62;16,98;76,7;26,22;1,33;21,44;0;0;4,85;0,439;0,5;0
30/8/19;242;32,02;16,05;84;26,42;1,44;20,88;0;0;4,88;0,4364;0;0
31/8/19;243;32,22;14,91;84,5;22,33;1,01;23,88;0;0;4,77;0,4337;0;0
1/9/19;244;33,83;15,65;79,3;17,17;1,46;22,64;0;0;5,32;0,4308;1,8;0
2/9/19;245;28,89;17,32;89,7;43,47;3,35;18,75;0,2;0;5;0,4277;0;0
3/9/19;246;31,42;16,98;100;30,58;2,19;21,59;0;0;5,26;0,4244;0;0,8
4/9/19;247;32,29;16,45;100;22,67;1,96;21,05;0;0;5,29;0,421;0;0
5/9/19;248;29,22;16,52;88,5;25,02;2,3;21,27;0;0;5,23;0,4175;0;0
6/9/19;249;26,41;14,37;86,7;39,44;2,92;20,3;0;0;4,74;0,4139;0,6;0
7/9/19;250;25,74;16,44;93,8;40,25;3,33;17,8;0;0;4,47;0,4103;0;1,4
8/9/19;251;27,42;14,1;96,1;33,8;1,68;21,44;0;0;4,32;0,4065;0;0
9/9/19;252;29,09;11,56;93,9;21,13;2,22;21,41;0;0;5,05;0,4027;0;0
10/9/19;253;21,79;11,49;66,93;22,41;3,92;19,69;0;0;5,22;0,3989;2,8;0
11/9/19;254;21;11,82;91,4;42,48;2,6;8,14;0,2;0;2,81;0,3951;5;26,9
12/9/19;255;21,33;13,03;91;44,89;4,01;11,82;1,61;0;3,49;0,3913;19,5;0
13/9/19;256;18,46;13,23;100;48,2;2,92;3,66;22,51;13,88;2,02;0,3875;0;0
14/9/19;257;20,93;13,77;100;62,73;3,82;13,8;0,8;0;2,78;0,3837;2,7;0
15/9/19;258;22,26;16,18;100;71,1;2,86;8,27;0,2;0;2,03;0,3798;0;19,6
16/9/19;259;27,15;17,25;100;45,41;1,18;16,76;0;0;3,3;0,3759;13,3;0
17/9/19;260;27,55;14,44;100;38,1;1,41;17,56;16,08;9,82;3,58;0,3718;0;0,6
18/9/19;261;27,68;12,29;100;37,1;0,86;19,91;0;0;3,44;0,3676;0,2;9,2
19/9/19;262;26,01;14,51;91,1;45,95;1,87;17,63;0;0;3,61;0,3632;12,8;0
20/9/19;263;22,67;14,43;100;62,14;3,58;12,01;18,29;11,24;2,73;0,3585;0;0
21/9/19;264;23,06;15,51;100;58,56;1,13;12,19;0,8;0;2,34;0,3537;0;0
22/9/19;265;22,61;12,02;98,8;64,42;1,82;11,83;0,4;0;2,32;0,3488;0;0
23/9/19;266;22,05;9,76;100;44,54;1,16;18,41;0,2;0;2,9;0,3437;0;0
24/9/19;267;25,81;11,37;94,9;30,59;1,81;19,96;0;0;3,88;0,3384;0;0
25/9/19;268;23,86;13,43;100;40,45;1,6;18,66;0;0;3,31;0,333;0;0
26/9/19;269;27,42;11,3;92,8;31,13;0,87;19,08;0;0;3,22;0,3275;0;0
27/9/19;270;27,62;11,56;100;27,5;1,24;19,23;0;0;3,54;0,3219;0;0
28/9/19;271;28,96;10,96;99,2;24,62;0,96;18,81;0;0;3,36;0,3162;3,7;0
29/9/19;272;29,09;12,56;100;20,46;1,06;19,02;0,2;0;3,51;0,3104;0;0
30/9/19;273;29,96;10,29;95,7;18,65;0,73;18,92;0;0;3,16;0,3046;0;0
1/10/19;274;27,82;11,23;100;22,2;1,97;18,08;0;0;4,05;0,2988;0;0
2/10/19;275;23,79;9,15;89;22,74;2,14;18,38;0;0;3,79;0,2929;0;0
3/10/19;276;24,8;6,6;88,2;23,61;2,01;18,64;0;0;3,8;0,287;1;0
4/10/19;277;27,62;8,68;74,1;20,73;1,29;18,33;0;0;3,5;0,2811;0;0
5/10/19;278;26,88;8,82;75,7;24,15;1,44;18,14;0;0;3,51;0,2752;0;1,4
6/10/19;279;27,42;8,75;83,1;27,84;1,61;16,64;0;0;3,51;0,2694;0,7;0
7/10/19;280;28,76;12,29;74,8;22,28;2,28;16,65;0;0;4,4;0,2635;0,4;0
8/10/19;281;27,21;9,69;94,2;37,83;1,04;17,26;0;0;2,89;0,2578;0;0
9/10/19;282;29,43;10,83;100;26,9;1,62;17;0;0;3,63;0,2521;0;0
10/10/19;283;23,93;14,84;99;50,33;3,4;14,11;0;0;3,19;0,2465;0;0
11/10/19;284;26,34;14,98;99,9;29,38;2,78;14,61;0;0;3,86;0,241;0;0